Sentence,Alternative1,Alternative2,Alternative3,Best_Alternative
She applied her mind to her new job.,ro sth erj oplecemdly sheab pliedh e rm imdto hern e wjob,zhe,shep uz hethi mt oqui  dhisjop,Alternative3
Sami was pulling Layla's hair.,zpurlinkla yla zhai r  z ani hidlayl aover dheh eadwithanar,s amiwa,let,Alternative2
How could I have forgotten it?,thele h owc ourdihave vorg ottenit ,t ,howcour dih  ave be en such ajerg,Alternative3
I thought both Tom and Mary were single.,o thto mandnalyw elesingre  ithin,i t hou khtb ,ktona ndma ry gmowa rreat y,Alternative1
He always goes home by himself.,lwa ystriez to havehiz ownway he always koes h omebyhi nzelf,he a,h eishisu s ualse lf,Alternative3
You look pretty proud of yourself.,yourookpre dt y brou tofyours erf  youl ookgoo ddog edher,youlookri key ouleh  ezitan d todothad ,,Alternative2
When can I meet you?,whemar e y ougoingd omarl y me whe nca ni  meedyou,,lingne wh e myouredhe le,Alternative3
Tom left the back door open.,h ebacktoor obe n,tom reft t,t hepe  h indtob iastoolzranmedshut,Alternative3
I should have known it would be a waste of time.,ikn ew idwas t ime tostop ish oul dhafe gno w m itw our dp eawas teovtime,,i leali ze ito n thavee noug h tim etodothat,Alternative3
Tom is probably a bit younger than I am.,tonis br obab ry abi d younk ert haniam,,i thinkt om sord,Alternative1
I don't think that Tom has ever been to Boston.,it on dth inkt ha ttomha se verb  eentobosdom  tomh a sb ee,idont thi nkt hadto mgmowsam ydhinkabo udbo s ton,nin bostom hasmdhe,Alternative2
I'm going to freeze to death out here.,i mgoi ngtov reeze tod eath   oudhere,ithi nkim gomn asta yhe re,,Alternative1
I didn't kill anybody!,wed idn tgilrhel ididmdkilla nyb od y,,i hafemtpe trayedam yome,Alternative3
Tom walked up the three flights of stairs to his office., et hreefri gh tsof stail stohiso f vice  donrush,dom walked upth,etout ov hi sof fice,Alternative1
She was always finding fault with me.,he ofd endr opp edin onme s hew asalwa ysvind ing f,,aurt withne,Alternative1
I don't know if that's a good idea.,owi ftha  tsag oodidea  tha dz avel yco olitea,ido m tk m,,Alternative1
How can I motivate myself?,a mim agean em ds ho wcan imotivadem ys elf,howc,howcan im  ake hin like me,Alternative3
I'd have done that if I'd known I had to.,ha di f i tknowmi haddo  iwo uld feto m ethat ividh,i dha v etomet ,atd het ime,Alternative1
The world slowly walks towards wisdom.,a lrwis domcome zvroma pove theworlt zl owry walgzt owaltzwisd o,,n,Alternative1
Let's play together.,redzp  la ytokether,,w ere playi ngforkeebz,Alternative1
I feel as I can rely on things now.,i ve el asic  anle l yonthin kzmow,ife ellike in  goimk tob  eok,inp retd yopt imisdicr ightnow,Alternative1
Ziri's company leased a piece of land from the local government.,i scom pa nyreas eda bieceovl a ndvronthe loc argovern nemd,aytherent zir,siriz ignetdheto cum emdzdram sverrimg  theow  ners h ipofthef armtohin,Alternative1
Dishwashing is my least favorite household chore.,dizhwashimkismyre a ztvav  oritehou   seholt chole,nyfa th eroftenwashez theti s hes,,Alternative1
Tom's skull was crushed when the building collapsed.,ies tomsskull wa scr ush edwhendhepuiltimgc olr a pset,tontiet vromhis imj ul,to mhu rdhis arnwhen  h efell,Alternative1
I still don't think I'm wrong.,i m af raidthatiwa srighd i s tirl tondthimg,,i  mwrong,Alternative1
Gabriel found a cigarette on the table.,elfou n dacikaredteomdhet ap le,ka bli ,kabrie lzrepdun derneathth esd alrys ky,Alternative3
She'll come at quarter past three.,she  rlcomeatq uarte rpas tthree  ipro ni sei ll bet herepy2 ,i l rwaitumtirfour o clock,30,Alternative2
Everything possible will be done to avoid similar incidents occurring in future.,rbedo neto avoidsimilarimc ide n dzo cc urringinfudu re,evelydhi ngpoz zip rewir,allo fu shobetha dd oesnt ha ppen,Alternative1
He has to have an operation next week.,astohaveamop er a di on mextweeg  hehas dod age hismet ic,h eh ,atiom,Alternative1
Not everyone likes that book.,modefery one ligest had boog,didyo uriked  hepo ok,id ondhaveas img lepo okt ore ad ,Alternative1
Santiago started pleading with his mother for forgiveness.,santiako sd altedpleadi ngwidhhismo dhe rf orfo lkifeness,zan d i akojo imedl  inainwashimgthetishes,mal y wandshernodhe rsabproval ,Alternative1
I wonder what Tom's reaction is going to be.,iwomd  erw ha t domsre ac dionis goimkd obe,,id oh opet ha tt o misok,Alternative1
Layla switched back to being a regular housewife.,ray lawasde tica teddohelv a mily layla s witc hedpacktopeimka leku la rho u,,sewive,Alternative1
This is Flavio’s responsibility.,thizisvla vio’slesbon sib irity,t omistheonel  esboms ible vorth is mesz,flaviowazhypelvemdil at ing,Alternative1
I've told you a hundred times that I'm not going to that stupid party.,you vebe endoldth ism a nytimes iv et o ldy o ua humdleddin esthati m notgo in kdothats tu,, pidbarty,Alternative1
"As a Muslim, Yanni has to pray several times a day.",rayer a sanuz li myanmih as toplayseve ,h e snu srimandheh astogot ot hefrid ayp, r  art imesaday,Alternative2
I saw Tom stealing apples from one of your trees.,isawt om sde alinkapbre zv  lomoneo fy ourtl ees,to mchobp etd ownt hetle  etha twasimourf  lom tyalt,t omwate r edt hetleehedjusttrams pla mted,Alternative1
Mary poured cold water over Tom's face to wake him up.,arybrea kvast nar yb o ured c oldwa terove ltom  sf acetowakehimup,to mbrought m,maryber atedt om,Alternative1
That made Tom very sick.,mha zbeen a wfur t hatmad e tomvely sick,to,dombe haf edq uitebadly,Alternative3
"Daphnis and Chloe retired to rest, and, wakeful like the owls, kissed and embraced one another all night long.",zan tch roere tireddolesdamdwakefu lrik   ed heowlskiz ze   dantembracedoneamot h erar rn ighd lonk  zir ileamet in an tkissedl imaonhe r,daphm i,cheek zhepl ushetl igecrasy,Alternative1
Tom isn't always busy in the morning.,ton ismdalways pusyin t heno r ming,to mnef er ze emztop eon time,d omwasnd p u syatarl,Alternative1
You'll find a way.,yo u rr vin taway,,goodruckf im dink one,Alternative1
I betrayed Silya.,i pedra yetsilya  shene etszi lya,hemu rde ledsilya,,Alternative2
She was in the room by herself.,zhe wa s inth ero ombyherse rf,shewargedi nd oherr  oom,she warket intoherp  edroom,Alternative1
Tom and Mary told me that they weren't bored., netha   ddheywere ndbo led,d onantnar ytolt,d o na ndnal  ysaidt hattheyweleover whermet,Alternative3
Life without you makes no sense.,lifewidho u tyouna ke zn ozem se,,id toez ndmagea nysems e,Alternative1
Tom is going to need a good lawyer.,tomisg o ingtome ed a  g ootlawyer,d o nwan t stob ealawyer,,Alternative1
Lukas wanted to be more discreet.,r ukazwant edto pem oretiscle  et,ru kasurgetri mado  t othat,,Alternative1
"Tom walked backwards, retracing his steps.",d omwalketb acgwaldzretra cinkhi s  s deps,tomwalge d away unhurt,,Alternative1
Go talk to Tom yourself.,kotalk to tony ou r  zerf,ih afed ot alk d oyouab outt on,,Alternative1
She made it clear that she didn't like him.,ea rdhadzhe  didmtlik  ehin  shene v er toldme shedidm,shem ad ei tcl,tlik ehim,Alternative1
Tom wrote a letter to his brother in Boston.,ea  led dertohisb rot herin bosdon  tommove,domw rot ,dt opostom yezdeltay,Alternative1
Mennad was insecure about his nose.,me mma dwa zinsecureabo uthism o se,,menna dfer tso disrezpected,Alternative1
"At last, he solved the problem.",a tlast he sorfetth eb roplem,hewa zabret osor fedhep  lob lenwit  hease,healrivetr as t,Alternative1
I'm not a pupil., ot apu pil  in,inm,motap ain ter,Alternative1
Tell Tom to stop fooling around.,te lltomtosto bfoorimga  roun d,to mpu t a zdop toit,z coodoveram dn  agelo  omvorton,Alternative3
What's all this crap?,whad sall dhi scrap  wh ata,whadswr omg with t hatone,nawfulme zz,Alternative2
He only cries when he's hungry.,heonr yclies whenhe  shun gly,itsee mst hadth eonl yt imeheis nt eatin gis w hem he ssleeping,he loog edl ik eh ewasgoimgdo cry ,Alternative1
I didn't want you to change your plans.,iditn tw am  tyo uto chamkeyou r  blans,it woul dbe betder ifwetidn t ch amg  eourblams,,Alternative1
Tell me three things you have to do every day.,t erlne dhre e thimgs you h a vetodoev elyday  helesali st,b lea s eterlm ewhaty  o u wamdmetoto, o fthing stha,Alternative2
I'm really insecure.,lealr yimsecure  i rea lryansorly,i m,,Alternative1
He was pinned down by a fallen tree.,mne  dtow nbyav  allemtlee ,h ewasbi,itw asinpozsib let o geti  dd ow nvlon thetree,Alternative1
"When other people point out my mistakes, I blame myself.",ofniztak es when o th e rpeoplep oin tout nym izdakes iblamemyz,it looksl ikeim ate alo t,elf,Alternative1
Tom denies involvement in the bombing.,blo sivezex be rd tomdenies infor venemd i mthep ombimk,mizanex,tomh ascoodiez ,Alternative1
There aren't many people like you.,dh ele a r entmanypeopleli keyou,you rethe one i rige,ifeme fer hadafr iendq uit er ige you,Alternative1
Tom is a skilful card player.,di tcart tomi zaskirfu lcar ,t omgo tacre, dblay el,Alternative1
I want to make you happy.,imha ppyt hatyour eha bby iw an ttom akey  ouhapby,,ims oh app ytohea rfro  myou,Alternative3
My French would likely be much better today if I'd studied with a native speaker.,i dpre ferdotal gim french myf remchw ou l dlikelypemuch   betdertodayifi  dsdud,,i ed wit h a nativesbeakel,Alternative1
I live in Egypt.,ir ive im  egy pd,san ian dlayr ari  veinegypt,,Alternative1
"A case in West Virginia established that acquittal discharges a person from guilt, a pardon only from punishment.",a casei nwesdfirginiaezt ab lis hedthad acquitda rd ischalk ez ape lso nflom guirda baldononlyfr omp u nishnemt,,heclaime dthroug hou tthe  tlialt hadhewas  innocend,Alternative1
Tom was attacked by a grizzly bear.,tdacket p y agli zsr y bear  do msaw ab ear,tomwasa,,Alternative1
Have you ever climbed this tree?,veyouevercri mbedth is  tree  h,ha ,aveyoue fe rpeeno macam ping trib,Alternative3
"Tom is often rude, isn't he?",e nru te isnthe   domi squ ite,tomisof t,o utspokenizn dhe,Alternative1
She's no longer alone.,s hei zndalome anynore she z n olongeral,,one,Alternative1
You wouldn't make a good doctor. Your handwriting is too easy to read., ourdn dn a geagoodtoctory  oulhandwriting iz dooea sy toread,y ouw ,tja valtoesm tknowhowt ow l iteco lrectly,Alternative1
"He made a careless mistake, as is often the case with him.",ea calele ssm ista ke a sis ovt entheca sew ithhin,hen at,he ov  tend robpetimo nme,Alternative1
I'm looking for a French teacher who is a native speaker.,chirdre n i mlooki mgf ora flenc hteach erwhois,ideac hfremchdo, ana divezpeag er ,Alternative1
That isn't what I plan to do.,smt wh  a tiblantodo  t hatisn tdhe om,dh adi ,ry t hingdhatiw ant etdod o,Alternative3
Layla was in bitch mode., asimbi tchmode   ray r am adeagoodch oice,ray raw,,Alternative2
At least you didn't give her any money.,a tlea ztyou tidnd givehe  r anymoney  zhetidn dlem emper topayhel rent,she comb lainetco ntimuarl ythatt herewaz momo ne ylevt,,Alternative2
Turkey imports a lot of gas from Algeria.,reprezentalarg esha leov argeliase com o ny dur keyimportzal od o fgas f romalge ria,impordz,algeriaexpolt sidsnationa lre sou lces,Alternative3
