Sentence,noisy_sentence
It's not easy to win.,itznot  e azyt ow in
I don't want you to tell Tom about what happened here.,idom twamdy oud o telltom  ap outwhat  happenedhe re
She's in the National Theatre Company.,s hesi nthenatiomar d heatrec onpa my
You should distinguish between right and wrong.,distinku is hbedwee mligh dandwro mg  youwer eb robab
I knew that Tom was a coward.,ikm ow dhaddom i s outraged ikn ew dhad tomw asac o
I hated taking tests.,i ha tedtakin  gtesds
How long did it take him to write this novel?,h owlon  gdidittakehi mtowr i teth is n ofel
Mennad was assaulted with a deadly weapon.,nnatwasas saurtedw idh ad e adlyweap on  m e
Tom didn't know which button to push.,t ondidntknowwh ichb  utto mtob ush
We're faced with a difficult situation.,were facedwit h adiffi c urtsit uation
I really enjoy this stuff.,j oyit i reallyemjo ydh iszt uf
Have you found anything yet?,hafey oufounda n yth inkyed
The bus is always crowded.,uzi sal wa ysclowded  myb us w aslade
I don't want to listen to your shitty music.,idont w and tolis dent oy ours   hi dtymusic
Tom has diarrhoea.,to mhasdiarrh oea
They forced me to go with Tom.,g ow ithtom
"Stop, stop! The doctor said you mustn't lift anything heavy.", hedoctors  aid youmustmtlifda mythin gheavy   t he st o newass o heavythatn obotycoultli
I know Tom knows why you want Mary to do that.,mgmowzwhy  youw an tmar ytodoth at  i know dongmo
Tom is a professional wrestler.,t omisapr ofezsionarw r estl  er
I'd like to know why Tom and Mary didn't do what they said they'd do.,i dnt havet ododhat i tr ikedogno wwh ydom  antn aryti dmtd o wha tth eysaid dh eytto
It's been raining all week.,ids raine da l otdhis year
Tom is the only one here who drinks tea.,d oniz dheon  lyonewhoz sleepimk 
Is toothpaste your favorite?,ineett oothbast e
"If you open the window, bugs will come in.",pleazec ros e yourwimdo widskettingch  irly
He's waiting outside of the school for her.,hool hezwa i tim ko utziteoft h esc h
How can Tom possibly do what you're doing?,co u rdtomd oat hingl igetha d h ow cant on bosz ibr yto
He was cast as Hamlet.,hewa zcas t asham led
We'll fuck those separatists up big time. I promise.,evely on einoulregion is zicko vdhesep ar atis ts
It seems like a dream.,sl igead lea n  sheistle anin g
"Tom pressed the button, but nothing happened.",tomt id ntkn owwhichpu td ondo puzh
Why is Tom still standing outside in the rain?,w hy iston z tirlst andingouts   ideinth  erain
Many Armenians were forced to abandon their lands.,dhese paradistsw amttod estabili zeal keria
Tom crouched down.,toncrouc he tdow  n
I think the movie is almost over.,it h imk th enofie izalno  stofer
Tom is a bit of a shrinking violet.,onisa b itofazhri nk i  nkviol et
You should try to help him.,yoush ould tr ytoh elbhim 
Many students live in the suburbs of the city.,y ma ny sdut en t slif einthesu burpsofdhe city
Who am I to judge other people?,who ami  t oju dgeoth erpeopre  whad i
It got colder day by day.,i tgotcolde  rday byd ay
How's that going to impact me now?, sd hatgoimgt oimpa ct me now  howco
I like the way you treat me.,yo ure the omei lige
She spoke to me with a smile.,s he z niredatm ewh i les
Tom didn't look too convinced.,ab pa rentrydomd idndnodice dhat
Opportunity is around every corner.,op poldunityisalou ndefer yco rmer  th
"After spending three years in prison, Tom was happy to be free again.",tomgoto utof pri sona v ter30yea ls a fd erspendink thleeye ars imp ri zon domw a zhapp ytopevlee again
I wish I could have spoken Spanish.,i tprefer toda lk i nvlench
"Everyone is insane, each in their own way.",e ver yoneistoimgdha d e fe ryone  izinza meeac
My life is better without her.,myr i veis bedde lw itho
Tom is a cyborg.,tomi zp lasteret
He says he'll do what he has to.,r d owh a dhehasto   heged s
I'm not interested in doing that today.,itom tth inktha dihafe time toto dhatd  his  m olning
Why would Tom want to help us?,why wou ldtomw  amdt o hel  puz
Those are your orders.,t hesearem yt erns
We can hardly believe his story.,wec anh ar drype rieve hisztory  
You can use this strategy.,youwir luzed hi sp em yo uc anu sethizs
"A base service performed for a person of very high degree may become a very honorific office; as for instance the office of a Maid of Honor or of a Lady in Waiting to the Queen, or the King's Master of the Horse or his Keeper of the Hounds.",khtegr eem a  ybeco meaver   y homorif icovviceasvolinstamc ethe of vi   ceovama idovh onorolofa   rad yin  waiting todhequeem  ordhe  gi  ngsm asterovdheholseo rhi  skeeperofthehounds  iamp er mit tedtol eave bazedo nthe com
The newspaper is delivered to my doorstep every morning by the local delivery boy.,t heme wspap elizterive  letdonyt oo lsdepevery mo rnimgbyt he  loc aldelivery  boy
It smells like kerosene.,idsn e rrzri gegerosen e
It was my choice.,asm yc hoice  it
Tom and Mary knew they were in serious trouble.,to man dnaryknewdheyw ere imser  i   ouztr oubre
I'm bloated.,infrustlate t
The leaves change color in autumn.,hydrange aploomingsea somalliv ed
You completely disappeared.,ed erytisabbealed  youd
Who are you trying to kid?,kid
I think you know the answer to that question.,dhinky ougmo wt heanswer todhad q  uesti on  ign owy oumusdhavea nillionq u
Everybody here has been very kind to me.,igota varewe ll bresent vrone veryone eve ryb od yherehaspeen  vel ykimdd
Greek cooking is interesting.,thevood l oogs verydel icious
